index	sheet	BMS	UNOCF	TC	status
63	To psi(I)	(0,0)(1,1)(1,1)(1,0)(2,1)(2,1)(2,0)	e1^w = psi(W2+e1*w)	C(C(C(0,C(Ω_1,C(Ω_1,0))),C(Ω_1,C(Ω_1,0))),C(Ω_1,C(Ω_1,0)))	verified
64	To psi(I)	(0,0)(1,1)(1,1)(1,0)(2,1)(2,1)(2,0)(3,1)(3,1)	e1^e1 = psi(W2+e1^2)	C(C(C(C(Ω_1,C(Ω_1,0)),C(Ω_1,C(Ω_1,0))),C(Ω_1,C(Ω_1,0))),C(Ω_1,C(Ω_1,0)))	verified
65	To psi(I)	(0,0)(1,1)(1,1)(1,1)	e2 = psi(W3)	C(Ω_1,C(Ω_1,C(Ω_1,0)))	verified
66	To psi(I)	(0,0)(1,1)(1,1)(1,1)(1,1)	e3 = psi(W4)	C(Ω_1,C(Ω_1,C(Ω_1,C(Ω_1,0))))	verified
67	To psi(I)	(0,0)(1,1)(2,0)	ew = psi(W*w) = psi(psi_1(1))	C(C(0,Ω_1),0)	verified
68	To psi(I)	(0,0)(1,1)(2,0)(0,0)	ew+1	C(0,C(C(0,Ω_1),0))	verified
69	To psi(I)	(0,0)(1,1)(2,0)(0,0)(1,1)(2,0)	ew*2	C(C(C(0,Ω_1),0),C(C(0,Ω_1),0))	verified
70	To psi(I)	(0,0)(1,1)(2,0)(1,0)	ew*w = psi(W*w+1)	C(C(0,C(C(0,Ω_1),0)),C(C(0,Ω_1),0))	verified
71	To psi(I)	(0,0)(1,1)(2,0)(1,0)(2,1)(3,0)	ew^2 = psi(W*w+ew)	C(C(C(C(0,Ω_1),0),C(C(0,Ω_1),0)),C(C(0,Ω_1),0))	verified
72	To psi(I)	(0,0)(1,1)(2,0)(1,0)(2,1)(3,0)(2,0)	ew^w = psi(W*w+ew*w)	C(C(C(0,C(C(0,Ω_1),0)),C(C(0,Ω_1),0)),C(C(0,Ω_1),0))	verified
